date&time,raw_yaw,filter_yaw,smooth_yaw,raw_pitch,filter_pitch,smooth_pitch,
05-07-2020 22:00,5,5,5,5,5,5, 
05-07-2020 22:00,4,4,4,5,5,5, 
05-07-2020 22:00,3,3,3,5,5,5, 
05-07-2020 22:00,1,1,1,5,5,5, 
05-07-2020 22:00,2,2,2,5,5,5, 
05-07-2020 22:00,2,2,2,5,5,5, 
05-07-2020 22:00,1,1,1,5,5,5, 
05-07-2020 22:00,1,1,1,5,5,5, 
05-07-2020 22:00,0,0,0,4,4,4, 
05-07-2020 22:00,0,0,5.55E-17,0,0,0, 
05-07-2020 22:00,0,0,2.78E-17,0,0,2.22E-16, 
05-07-2020 22:00,0,0,-6.94E-18,0,0,-1.11E-16, 
05-07-2020 22:00,0,0,8.67E-19,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,3.47E-18, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
05-07-2020 22:00,0,0,0,0,0,0, 
